Problema;Algoritmo;bhv;hv;gd;igd;igdp;bspread;spread
ZDT1;MyNSGAII;0.6661601249;0.6636041399;0.0000900719;0.0000662587;0.0016316678;0.0000000000;0.3790473536
ZDT1;NSGAII;0.6661601249;0.6528605081;0.0008268794;0.0002756743;0.0085660029;0.0000000000;0.4936102798
ZDT1;MyNSGAII;0.6661601249;0.6635715699;0.0000937267;0.0000669365;0.0016561375;0.0000000000;0.3465826790
ZDT1;NSGAII;0.6661601249;0.6545594190;0.0006444364;0.0002422365;0.0075187847;0.0000000000;0.4513719486
ZDT1;MyNSGAII;0.6661601249;0.6636111824;0.0000901827;0.0000686921;0.0016337741;0.0000000000;0.3645709636
ZDT1;NSGAII;0.6661601249;0.6544918452;0.0004499359;0.0002433866;0.0075523330;0.0000000000;0.3993948764
ZDT1;MyNSGAII;0.6661601249;0.6634448106;0.0001042720;0.0000691171;0.0017283789;0.0000000000;0.3547067763
ZDT1;NSGAII;0.6661601249;0.6536323867;0.0004877088;0.0002598336;0.0080882869;0.0000000000;0.3694181916
ZDT1;MyNSGAII;0.6661601249;0.6633317944;0.0001022368;0.0000688844;0.0018018092;0.0000000000;0.3326877390
ZDT1;NSGAII;0.6661601249;0.6525263258;0.0005440621;0.0002846454;0.0088528353;0.0000000000;0.3913066424
ZDT1;MyNSGAII;0.6661601249;0.6638028861;0.0000930436;0.0000632561;0.0015286394;0.0000000000;0.3538271876
ZDT1;NSGAII;0.6661601249;0.6548459143;0.0004369925;0.0002359927;0.0073277669;0.0000000000;0.3635598538
ZDT1;MyNSGAII;0.6661601249;0.6635566706;0.0000928614;0.0000669969;0.0016598367;0.0000000000;0.3546659006
ZDT1;NSGAII;0.6661601249;0.6556911759;0.0004071804;0.0002175169;0.0067211036;0.0000000000;0.3768835489
ZDT1;MyNSGAII;0.6661601249;0.6635542271;0.0000947404;0.0000649523;0.0016634925;0.0000000000;0.3603950616
ZDT1;NSGAII;0.6661601249;0.6509083888;0.0005908864;0.0003183942;0.0099132762;0.0000000000;0.4107136693
ZDT1;MyNSGAII;0.6661601249;0.6632498455;0.0000974893;0.0000714753;0.0018365554;0.0000000000;0.3710794723
ZDT1;NSGAII;0.6661601249;0.6547441706;0.0004411983;0.0002385514;0.0073959385;0.0000000000;0.3510755623
ZDT1;MyNSGAII;0.6661601249;0.6637520796;0.0000927759;0.0000647950;0.0015557145;0.0000000000;0.3369871845
ZDT1;NSGAII;0.6661601249;0.6543519072;0.0004554828;0.0002469890;0.0076738973;0.0000000000;0.3697188022
ZDT1;MyNSGAII;0.6661601249;0.6635283308;0.0000995965;0.0000689793;0.0016756832;0.0000000000;0.3831791100
ZDT1;NSGAII;0.6661601249;0.6532745041;0.0004952426;0.0002710971;0.0084280013;0.0000000000;0.3553855729
ZDT1;MyNSGAII;0.6661601249;0.6633632588;0.0000951690;0.0000696787;0.0017870637;0.0000000000;0.3534872091
ZDT1;NSGAII;0.6661601249;0.6538334844;0.0004832958;0.0002569162;0.0079624677;0.0000000000;0.3552513456
ZDT1;MyNSGAII;0.6661601249;0.6637463854;0.0000741561;0.0000651466;0.0015527194;0.0000000000;0.3611478601
ZDT1;NSGAII;0.6661601249;0.6542981893;0.0004581558;0.0002465405;0.0076805563;0.0000000000;0.3684483562
ZDT1;MyNSGAII;0.6661601249;0.6635002786;0.0000967999;0.0000702338;0.0017105663;0.0000000000;0.3619705412
ZDT1;NSGAII;0.6661601249;0.6543020050;0.0004615342;0.0002461428;0.0076416614;0.0000000000;0.3500374352
ZDT1;MyNSGAII;0.6661601249;0.6635242628;0.0001079571;0.0000674890;0.0016748261;0.0000000000;0.3644116290
ZDT1;NSGAII;0.6661601249;0.6536723629;0.0004937295;0.0002599213;0.0081040879;0.0000000000;0.3597332939
ZDT1;MyNSGAII;0.6661601249;0.6637365080;0.0000936523;0.0000628379;0.0015634908;0.0000000000;0.3258341094
ZDT1;NSGAII;0.6661601249;0.6562672851;0.0003745209;0.0002060108;0.0063572846;0.0000000000;0.3793720953
ZDT1;MyNSGAII;0.6661601249;0.6634366556;0.0000994029;0.0000663398;0.0017233255;0.0000000000;0.3412778923
ZDT1;NSGAII;0.6661601249;0.6532022194;0.0005006260;0.0002703184;0.0083875229;0.0000000000;0.4166997142
ZDT1;MyNSGAII;0.6661601249;0.6635179535;0.0001073009;0.0000655421;0.0016842177;0.0000000000;0.3197651098
ZDT1;NSGAII;0.6661601249;0.6535076882;0.0004838975;0.0002632114;0.0081784317;0.0000000000;0.3965460700
ZDT1;MyNSGAII;0.6661601249;0.6631798004;0.0001159408;0.0000740014;0.0018945718;0.0000000000;0.3588417769
ZDT1;NSGAII;0.6661601249;0.6542371652;0.0008359511;0.0002481200;0.0077039325;0.0000000000;0.5229380080
ZDT1;MyNSGAII;0.6661601249;0.6637072129;0.0000954624;0.0000651945;0.0015792811;0.0000000000;0.3597898563
ZDT1;NSGAII;0.6661601249;0.6543903714;0.0004444757;0.0002464532;0.0076715562;0.0000000000;0.3575957436
ZDT1;MyNSGAII;0.6661601249;0.6632892783;0.0000954653;0.0000705991;0.0018040230;0.0000000000;0.3454140905
ZDT1;NSGAII;0.6661601249;0.6538615515;0.0004738077;0.0002570044;0.0079993657;0.0000000000;0.3450461787
ZDT1;MyNSGAII;0.6661601249;0.6637357238;0.0000944853;0.0000643518;0.0015562648;0.0000000000;0.3520628131
ZDT1;NSGAII;0.6661601249;0.6531441653;0.0005387501;0.0002705325;0.0084223617;0.0000000000;0.3797584025
ZDT1;MyNSGAII;0.6661601249;0.6636397722;0.0000932133;0.0000649585;0.0016204885;0.0000000000;0.3251801240
ZDT1;NSGAII;0.6661601249;0.6550436205;0.0004316679;0.0002305659;0.0071722712;0.0000000000;0.3609527965
ZDT1;MyNSGAII;0.6661601249;0.6635351186;0.0001050450;0.0000651742;0.0016721561;0.0000000000;0.3381295401
ZDT1;NSGAII;0.6661601249;0.6551530180;0.0004183845;0.0002276515;0.0070768797;0.0000000000;0.3755858439
ZDT1;MyNSGAII;0.6661601249;0.6631504947;0.0001075941;0.0000732315;0.0018859802;0.0000000000;0.3913415247
ZDT1;NSGAII;0.6661601249;0.6522752481;0.0005477496;0.0002886172;0.0089679505;0.0000000000;0.4048276632
ZDT1;MyNSGAII;0.6661601249;0.6634638341;0.0001070595;0.0000690000;0.0017199638;0.0000000000;0.3700538429
ZDT1;NSGAII;0.6661601249;0.6528213409;0.0005230664;0.0002776695;0.0086404492;0.0000000000;0.3325261987
ZDT1;MyNSGAII;0.6661601249;0.6632910007;0.0000995442;0.0000709152;0.0017998110;0.0000000000;0.3768767445
ZDT1;NSGAII;0.6661601249;0.6542835048;0.0004507937;0.0002470221;0.0076715420;0.0000000000;0.3780361144
ZDT1;MyNSGAII;0.6661601249;0.6634765654;0.0000992673;0.0000660767;0.0017154156;0.0000000000;0.3435367303
ZDT1;NSGAII;0.6661601249;0.6544646979;0.0004558812;0.0002442868;0.0075672722;0.0000000000;0.3446450823
ZDT1;MyNSGAII;0.6661601249;0.6635064723;0.0000896069;0.0000676583;0.0016846679;0.0000000000;0.3483294883
ZDT1;NSGAII;0.6661601249;0.6546186216;0.0004400051;0.0002399284;0.0074506885;0.0000000000;0.3670396528
ZDT1;MyNSGAII;0.6661601249;0.6635835266;0.0000946326;0.0000664303;0.0016520253;0.0000000000;0.3684982174
ZDT1;NSGAII;0.6661601249;0.6545944270;0.0004511959;0.0002397883;0.0074308794;0.0000000000;0.3572562010
ZDT2;MyNSGAII;0.3328335594;0.3300171596;0.0000677092;0.0000720286;0.0016941076;0.0000000000;0.3662016512
ZDT2;NSGAII;0.3328335594;0.3145834039;0.0007226994;0.0003983146;0.0120707374;0.0000000000;0.5343073443
ZDT2;MyNSGAII;0.3328335594;0.3300245339;0.0000677870;0.0000722361;0.0016763171;0.0000000000;0.3706823025
ZDT2;NSGAII;0.3328335594;0.3162311060;0.0006416807;0.0003523498;0.0106772085;0.0000000000;0.6170294420
ZDT2;MyNSGAII;0.3328335594;0.3296096283;0.0000809567;0.0000800124;0.0019074737;0.0000000000;0.3961020042
ZDT2;NSGAII;0.3328335594;0.3129688795;0.0007966082;0.0004344541;0.0130565449;0.0000000000;0.6189185428
ZDT2;MyNSGAII;0.3328335594;0.3302152244;0.0000594635;0.0000735375;0.0015505019;0.0000000000;0.3675229162
ZDT2;NSGAII;0.3328335594;0.3093317058;0.0011060574;0.0005100844;0.0154426632;0.0000000000;0.5524616790
ZDT2;MyNSGAII;0.3328335594;0.3303029115;0.0000557667;0.0000850774;0.0015319667;0.0000000000;0.4077590982
ZDT2;NSGAII;0.3328335594;0.3125315318;0.0009026868;0.0004544507;0.0133898010;0.0000000000;0.5828160366
ZDT2;MyNSGAII;0.3328335594;0.3300344864;0.0000681138;0.0000727556;0.0016776780;0.0000000000;0.3870208741
ZDT2;NSGAII;0.3328335594;0.3140355581;0.0007670664;0.0003957920;0.0122687378;0.0000000000;0.5978329991
ZDT2;MyNSGAII;0.3328335594;0.3300787319;0.0000663154;0.0000724045;0.0016371762;0.0000000000;0.3714503221
ZDT2;NSGAII;0.3328335594;0.3151063444;0.0007051311;0.0003818172;0.0115011322;0.0000000000;0.6320675046
ZDT2;MyNSGAII;0.3328335594;0.3271374461;0.0000334175;0.0003004631;0.0025525702;0.0000000000;0.5720111909
ZDT2;NSGAII;0.3328335594;0.3124945809;0.0012662893;0.0004273411;0.0131356465;0.0000000000;0.6747773385
ZDT2;MyNSGAII;0.3328335594;0.3299729877;0.0000700040;0.0000738358;0.0017142168;0.0000000000;0.3644611748
ZDT2;NSGAII;0.3328335594;0.3175007831;0.0005940499;0.0003271789;0.0099833534;0.0000000000;0.5078956612
ZDT2;MyNSGAII;0.3328335594;0.3299414105;0.0000750808;0.0000750665;0.0017288385;0.0000000000;0.3755417035
ZDT2;NSGAII;0.3328335594;0.3081793177;0.0011091493;0.0005542209;0.0161995554;0.0000000000;0.6103840006
